dt,cos,sin,angle,angular_vel
100.53,-0.868109798218069,0.49637221743141857,2.622177839279175,-1.9131516218185425
100.54,-0.8591049353001217,0.5117994823590327,2.6043145656585693,-1.6814500093460083
100.55,-0.8510641196586047,0.5250617718228248,2.5888049602508545,-1.4431709051132202
100.56,-0.8441157160039335,0.5361610373713915,2.5757100582122803,-1.1993082761764526
100.57000000000001,-0.8383684095234019,0.5451040358621477,2.5650794506073,-0.9508548378944397
100.58,-0.8339121733117183,0.5518971708593248,2.556955099105835,-0.6988007426261902
100.59,-0.8308138109042389,0.5565504573807981,2.5513646602630615,-0.4441313147544861
100.60000000000001,-0.82912215107589,0.5590674901971039,2.5483319759368896,-0.18782910704612732
100.61,-0.8288625420813293,0.5594523092583288,2.547867774963379,0.06906110793352127
100.62,-0.8300360901938086,0.5577096816227738,2.549968719482422,0.3254741430282593
100.63,-0.8326258032127573,0.5538359611151219,2.554628372192383,0.5805850028991699
100.64,-0.8365914157386769,0.5478273479047538,2.5618276596069336,0.8334150910377502
100.65,-0.8418719803703434,0.5396772819633194,2.5715389251708984,1.0829840898513794
100.66,-0.8483843294540127,0.5293807982321095,2.5837221145629883,1.3283084630966187
100.67,-0.8560274218718993,0.5169304140823495,2.5983314514160156,1.5684012174606323
100.68,-0.8646792461920443,0.5023243983769432,2.6153078079223633,1.8022743463516235
100.69,-0.874200999510068,0.4855642207325392,2.6345841884613037,2.0289411544799805
100.7,-0.8844371681288969,0.46665929288093827,2.65608286857605,2.2474143505096436
100.71000000000001,-0.8952177262099278,0.44562901911738956,2.679715871810913,2.4567174911499023
100.72,-0.9063616593337015,0.42250271299704006,2.705387830734253,2.655880928039551
100.73,-0.9176769330933592,0.3973273794597679,2.732990026473999,2.843952178955078
100.74000000000001,-0.9289671152519782,0.3701622600703885,2.762408971786499,3.020007610321045
100.75,-0.9400308657573571,0.3410893891980132,2.7935171127319336,3.183150291442871
100.76,-0.950668593183316,0.31020835890551823,2.8261804580688477,3.3325307369232178
100.77,-0.9606860366084854,0.2776370635658715,2.8602590560913086,3.467344284057617
100.78,-0.9698963825355034,0.24351798115240816,2.895601272583008,3.5868468284606934
100.79,-0.9781267438047383,0.20800979076461737,2.9320528507232666,3.6903653144836426
100.8,-0.9852195558661293,0.1712963126834516,2.969447374343872,3.7773003578186035
100.81,-0.9910390919848976,0.13357214589033758,3.007620096206665,3.8471431732177734
100.82000000000001,-0.9954718131944666,0.0950571887619286,3.046391725540161,3.8994791507720947
100.83,-0.9984322948389469,0.05597278466035269,3.0855906009674072,3.9339969158172607
100.84,-0.9998629338672731,0.016556372740703932,3.125035524368286,3.9504852294921875
100.85000000000001,-0.9997365339636873,-0.02295348902178174,3.16454815864563,3.948848009109497
100.86,-0.9980568161917707,-0.06231044577874645,3.2039434909820557,3.9290974140167236
100.87,-0.9948585002982366,-0.101274697651207,3.2430412769317627,3.891356945037842
100.88,-0.990206019213416,-0.13961389441427377,3.2816641330718994,3.835860013961792
100.89,-0.9841923425919433,-0.1771028875636502,3.3196346759796143,3.762943983078003
100.9,-0.9769357342138686,-0.21353353651361084,3.356783151626587,3.673046350479126
100.91,-0.9685773030181883,-0.2487127018831419,3.3929436206817627,3.5666990280151367
100.92,-0.9592785613093343,-0.28246175283088104,3.4279520511627197,3.444519281387329
100.93,-0.9492161351809315,-0.3146247426890893,3.4616539478302,3.3071982860565186
100.94,-0.9385778562755208,-0.34506754079346247,3.493903398513794,3.1554977893829346
100.95,-0.9275605322583963,-0.3736729305107884,3.5245583057403564,2.990234375
100.96000000000001,-0.9163625213441733,-0.40034950914888057,3.5534908771514893,2.8122751712799072
100.97,-0.9051825300317593,-0.4250230432874237,3.580579996109009,2.6225264072418213
100.98,-0.8942164725002316,-0.4476347845166219,3.6057112216949463,2.421921730041504
100.99000000000001,-0.8836536848130616,-0.46814118096606117,3.6287786960601807,2.21142315864563
101.0,-0.8736699460793518,-0.48651909039389457,3.649693727493286,1.9920011758804321
101.01,-0.8644315022080589,-0.5027506121232661,3.668370485305786,1.7646374702453613
101.02,-0.8560895644385559,-0.5168274931342214,3.6847336292266846,1.5303239822387695
101.03,-0.8487769081589464,-0.5287511325530561,3.698721170425415,1.2900500297546387
101.04,-0.8426108137572923,-0.5385229953672115,3.710275888442993,1.0448054075241089
101.05,-0.8376858729246857,-0.5461523398305709,3.7193567752838135,0.7955769896507263
101.06,-0.8340791484537486,-0.5516447898010726,3.7259275913238525,0.5433477163314819
101.07000000000001,-0.8318454214718008,-0.5550073826323412,3.7299644947052,0.2890987694263458
101.08,-0.8310193294646011,-0.5562435384399578,3.7314512729644775,0.03380654379725456
101.09,-0.8316113986180188,-0.5553579761636476,3.7303860187530518,-0.2213568091392517
101.10000000000001,-0.8336132622564802,-0.5523485575160931,3.726771593093872,-0.47559165954589844
101.11,-0.8369919449682031,-0.547215208175307,3.72062611579895,-0.7279446125030518
101.12,-0.841696980480075,-0.5399501764521651,3.711970567703247,-0.9774402379989624
101.13,-0.8476544191523707,-0.5305487590141523,3.700840473175049,-1.2230995893478394
101.14,-0.8547701686123826,-0.5190067040514591,3.6872811317443848,-1.4639414548873901
101.15,-0.8629330868177764,-0.5053182043773449,3.6713433265686035,-1.6989824771881104
101.16,-0.872011625412169,-0.48948516335638503,3.6530919075012207,-1.9272397756576538
101.17,-0.8818586324161649,-0.47151389421001294,3.632599353790283,-2.1477303504943848
101.18,-0.8923107754058013,-0.45142162120870727,3.609950542449951,-2.3594794273376465
101.19,-0.9031934786658837,-0.42923366607876867,3.5852367877960205,-2.561519145965576
101.2,-0.9143218612735732,-0.40498831340821273,3.558558702468872,-2.752897024154663
101.21000000000001,-0.925501306155703,-0.3787444155417841,3.53003191947937,-2.9326817989349365
101.22,-0.9365360312635371,-0.35057133674210017,3.4997737407684326,-3.0999722480773926
101.23,-0.9472270311194405,-0.32056349061714806,3.467916965484619,-3.253906726837158
101.24000000000001,-0.9573803793612184,-0.28883006978874165,3.4345972537994385,-3.3936684131622314
101.25,-0.9668079765456141,-0.25550408311370537,3.3999617099761963,-3.51849365234375
101.26,-0.9753333703665177,-0.220736985232401,3.3641626834869385,-3.627685546875
101.27,-0.9827943859222121,-0.18470299131249085,3.327362298965454,-3.7206225395202637
101.28,-0.9890486534602603,-0.14758984073589237,3.2897236347198486,-3.796762704849243
101.29,-0.9939752173763206,-0.10960505116871341,3.251418352127075,-3.855658769607544
101.3,-0.9974786168917387,-0.07096766054861992,3.2126200199127197,-3.896960735321045
101.31,-0.9994907812620681,-0.031908904276714924,3.17350697517395,-3.920419931411743
101.32000000000001,-0.999973091289328,0.007335986454821153,3.134256601333618,-3.9258952140808105
101.33,-0.9989171794345625,0.04652385012547875,3.0950520038604736,-3.9133565425872803
101.34,-0.9963451536013025,0.08541858635681691,3.056069850921631,-3.8828845024108887
101.35000000000001,-0.9923093101138345,0.12378300796719141,3.017491340637207,-3.8346669673919678
101.36,-0.9868901554978303,0.16139337341250526,2.979490280151367,-3.7689967155456543
101.37,-0.9801953108179271,0.1980332109787326,2.942241668701172,-3.6862690448760986
101.38,-0.9723557238897431,0.23350448864819184,2.905912399291992,-3.5869762897491455
101.39,-0.9635226841446372,0.26762667493864245,2.870663642883301,-3.4716975688934326
101.4,-0.9538652854364357,0.30023493673999224,2.836653709411621,-3.341090679168701
101.41,-0.9435648265682993,0.3311878893666483,2.804030418395996,-3.195884943008423
101.42,-0.93281154386716,0.36036457043966663,2.7729339599609375,-3.036867618560791
101.43,-0.9218019791902365,0.3876610776966947,2.743499755859375,-2.8648810386657715
101.44,-0.9107341885085636,0.41299302401087623,2.7158546447753906,-2.680809736251831
101.45,-0.8998019239418273,0.4362986335878053,2.6901116371154785,-2.4855711460113525
101.46000000000001,-0.8891943233478403,0.45752973163060834,2.666377544403076,-2.2801103591918945
101.47,-0.8790919540106232,0.47665221744347763,2.6447501182556152,-2.0653908252716064
101.48,-0.8696632874740087,0.4936453852918101,2.6253161430358887,-1.8423813581466675
101.49000000000001,-0.8610635273353952,0.5084973961513739,2.608153820037842,-1.6120682954788208
101.5,-0.8534317720736866,0.5212045763566998,2.5933308601379395,-1.3754371404647827
101.51,-0.8468883498543366,0.5317707427839545,2.580902576446533,-1.1334728002548218
101.52,-0.8415380517664234,0.5401978410075077,2.570920467376709,-0.8871581554412842
101.53,-0.8374625833938446,0.5464946673255905,2.563419818878174,-0.637474536895752
101.54,-0.8347248417725008,0.550667266621027,2.55842924118042,-0.3853996694087982
101.55,-0.8333674107942619,0.5527194212492157,2.555968761444092,-0.13190852105617523
101.56,-0.8334101045674008,0.5526550439514273,2.5560460090637207,0.12191721796989441
101.57000000000001,-0.8348508576420542,0.5504761988445337,2.5586581230163574,0.3751063346862793
101.58,-0.8376678683736263,0.5461799541308571,2.563795566558838,0.6267966628074646
101.59,-0.8418176777530487,0.5397619821944337,2.5714383125305176,0.8760159015655518
101.60000000000001,-0.8472340375212277,0.5312198091802289,2.5815529823303223,1.1217900514602661
101.61,-0.8538331426699488,0.5205467937451529,2.5941014289855957,1.3631434440612793
101.62,-0.86151127836523,0.5077384338904306,2.609035015106201,1.599097490310669
101.63,-0.8701458882131664,0.49279420981350797,2.6262946128845215,1.828673243522644
101.64,-0.8795969425163643,0.4757196850203528,2.645810604095459,2.0508928298950195
101.65,-0.889708634747864,0.4565288000280945,2.6675028800964355,2.264782190322876
101.66,-0.9003126764573257,0.43524370714606175,2.691283702850342,2.4693756103515625
101.67,-0.9112292063103414,0.41189966444150605,2.717054843902588,2.6637210845947266
101.68,-0.9222704563958274,0.38654521761293625,2.7447099685668945,2.84688401222229
101.69,-0.9332421820451668,0.35924786659293567,2.7741308212280273,3.017958641052246
101.7,-0.9439485748033863,0.330092544791087,2.8051910400390625,3.176072120666504
101.71000000000001,-0.9541962696132625,0.29918134810869135,2.8377580642700195,3.3203980922698975
101.72,-0.9637965485864212,0.26663873111928504,2.8716888427734375,3.4501559734344482
101.73,-0.9725704271076272,0.23260860757007182,2.9068336486816406,3.564631223678589
101.74000000000001,-0.9803525093254023,0.197253535987031,2.9430370330810547,3.663177490234375
101.75,-0.9869938447953513,0.16075804905537336,2.9801340103149414,3.7452237606048584
101.76,-0.9923670456175969,0.12331928791637713,3.017958641052246,3.8102927207946777
101.77,-0.9963680491131417,0.08515110513946447,3.056338310241699,3.8580007553100586
101.78,-0.9989193191620245,0.04647788511623083,3.0950980186462402,3.888063669204712
101.79,-0.9999716397656285,0.007531245875685543,3.134061336517334,3.900299310684204
101.8,-0.9995053057738277,-0.031450655477545116,3.173048496246338,3.8946378231048584
101.81,-0.9975309136785174,-0.07022874237591163,3.211879253387451,3.871116876602173
101.82000000000001,-0.994088692981187,-0.10857103889599419,3.250378131866455,3.8298821449279785
101.83,-0.9892479987914095,-0.1462477243829506,3.2883667945861816,3.7711870670318604
101.84,-0.9831043721405778,-0.1830458780690794,3.325676441192627,3.6953823566436768
101.85000000000001,-0.9757786513743608,-0.21876019638415387,3.3621363639831543,3.6029205322265625
101.86,-0.9674134314588257,-0.25320199966244317,3.3975813388824463,3.4943432807922363
101.87,-0.9581686980282548,-0.2862040288305515,3.4318554401397705,3.370274305343628
101.88,-0.9482194552450159,-0.3176159074965315,3.4648067951202393,3.2314088344573975
101.89,-0.9377511594622018,-0.34730787916097766,3.496291399002075,3.0785090923309326
101.9,-0.9269556443959442,-0.3751709388032339,3.5261738300323486,2.9123892784118652
101.91,-0.9160277421402642,-0.401114915740377,3.554326295852661,2.7339131832122803
101.92,-0.9051610461968076,-0.4250687949590052,3.5806305408477783,2.5439815521240234
101.93,-0.8945449426761043,-0.4469780145964735,3.6049768924713135,2.3435206413269043
101.94,-0.8843620856863287,-0.46680156533641426,3.627263307571411,2.13348388671875
101.95,-0.874782134635024,-0.4845164774529251,3.6474030017852783,1.9148328304290771
101.96000000000001,-0.8659646092546722,-0.5001052844335909,3.6653130054473877,1.6885403394699097
